
VASAN MEDICAL AGENCIES,THANJAVUR.            
CLOSTING STOCK STATEMENT AS ON 30/11/2025             Page No:     1
--------------------------------------------------------------------
|SL.No | PRODUCT NAME         | PACKG   |L.M.SALE|  SALES |  STOCK |
|   73 | ENSURE VANNILA REF   |  200GM  |     23 |     26 |     33 |
|   74 | ENSURE VANNILA REF   |  375GM  |     16 |     13 |     18 |
|   75 | EPILEX CHRONO 500    |  15'S   |      0 |      0 |     29 |
|   76 | EPTION INJ           |  2ML    |      0 |      0 |      0 |
|   77 | EPTOIN               |  100'S  |     29 |     13 |      0 |
|   78 | ERYTHROCIN 500MG     |  10'S   |     41 |     23 |      1 |
|   79 | ERYTHROCIN TAB       |  250 MG |     52 |     18 |      0 |
|   80 | ESGIPYRIN TAB        |  15'S   |     51 |     11 |     44 |
|   81 | FLAGYL 400           |  20'S   |    136 |     68 |     34 |
|   82 | FLAGYL-200 TAB       |  15's   |     82 |     38 |     22 |
|   83 | GENTICYN 60MG INJ    |  5'S    |    150 |    505 |    705 |
|   84 | GENTICYN 80MG        |  2ML    |    813 |    495 |   1416 |
|   85 | GLUFORMIN G1         |  15'S   |      0 |      0 |      0 |
|   86 | GLUFORMIN XL 1000    |  15'S   |      0 |      0 |      0 |
|   87 | GLUFORMIN XL 500MG T |  15'S   |    200 |     20 |      0 |
|   88 | GTN SORBITRATE 2.6   |  30'S   |      2 |      3 |     11 |
|   89 | INDERAL 10MG TAB     |  15'S   |    112 |     69 |     96 |
|   90 | INDERAL 20MG         |  10'S   |     34 |      9 |     26 |
|   91 | INDERAL 40MG TAB     |  15'S   |     24 |      1 |      0 |
|   92 | INDERAL LA 20 TAB    |  10     |      9 |     14 |     37 |
|   93 | ISOMIL JAR           |  400GM  |      0 |      0 |      0 |
|   94 | KENACORT 0.1% OINIME |  5GM    |      7 |     16 |     37 |
|   95 | KENACORT 40MG        |  1ml    |     38 |     30 |     20 |
|   96 | KENACORT-4MG         |  10`S   |      0 |      0 |      0 |
|   97 | KENACORT-HEXA INJ. 1 |  1      |      5 |      0 |      5 |
|   98 | LIBBRIUM 10MG        |  15'S   |      0 |      0 |      0 |
|   99 | LIBRAX TAB           |  15'S   |    300 |     40 |      0 |
|  100 | LIBRIUM 10MG         |  10     |      2 |     10 |     23 |
|  101 | LIBRIUM-25MG         |  1*15'S |      5 |      1 |      4 |
|  102 | LIMCEE 500MG         |  15'S   |    193 |    106 |      1 |
|  103 | LINORMA T3 5MCG      |  100'S  |      0 |      0 |      0 |
|  104 | LOBATE GM CREAM      |  20GM   |     28 |     17 |     58 |
|  105 | LOBATE GM LOTION 25M |  25ML   |      0 |      0 |      0 |
|  106 | MALIDENS 500 MG TAB  |  10'S   |      0 |     12 |     99 |
|  107 | MALIDENS 650 MG      |  10S    |     48 |    150 |    512 |
|  108 | MOXON 0.3MG          |  1      |      0 |      0 |      0 |
|  109 | NEBASULF POWDER      |  10GM   |     17 |     22 |     36 |
|  110 | NEFOSAR INJ          |  5ML    |      0 |      0 |      0 |
--------------------------------------------------------------------

VASAN MEDICAL AGENCIES,THANJAVUR.            
CLOSTING STOCK STATEMENT AS ON 30/11/2025             Page No:     3
--------------------------------------------------------------------
|SL.No | PRODUCT NAME         | PACKG   |L.M.SALE|  SALES |  STOCK |
--------------------------------------------------------------------
|  111 | NEFOSAR TAB          |  10     |      0 |      0 |      0 |
|  112 | NEO-MERCAZOLE        |  10MG   |      2 |      1 |     11 |
|  113 | NEO-MERCAZOLE        |  5MG    |      4 |      1 |      4 |
|  114 | NEPRO HP VANNILA JAR |  400GM  |      0 |      0 |      0 |
|  115 | NEPRO LP VANNILA JAR |  400GM  |      0 |      0 |      0 |
|  116 | NERVUP-OD            |  10'S   |      0 |      0 |      0 |
|  117 | OBIMET SR 500MG      |  15'S   |      0 |      0 |      0 |
|  118 | OBIMET TAB           |  10'S   |      0 |      0 |      0 |
|  119 | OMNATAX 250MG INJ    |  1'S    |      0 |      0 |      0 |
|  120 | OMNATAX 500 INJ      |  1'S    |      0 |      0 |      0 |
|  121 | ONGLYZA 2.5          |  14'S   |      0 |      0 |      0 |
|  122 | PANKREOFLAT LIQ 100M |  100ML  |      0 |      0 |      0 |
|  123 | PANKREOFLAT TAB      |  15'S   |     10 |      0 |      0 |
|  124 | PANKREOFLAT-HD TAB   |  10'    |      0 |      0 |      0 |
|  125 | PARAXIN 500MG CAP    |  30     |      5 |      8 |     27 |
|  126 | PARAXIN CAP 250      |  10     |     17 |      5 |     34 |
|  127 | PEDIASURE CHO JAR    |  375GM  |      0 |      0 |      0 |
|  128 | PEDIASURE CHO REF    |  200GM  |     17 |     24 |     21 |
|  129 | PEDIASURE CHO REF    |  375GM  |      6 |      3 |     15 |
|  130 | PEDIASURE VAN JAR    |  375GM  |      0 |      0 |      0 |
|  131 | PEDIASURE VAN REF    |  200GM  |     21 |     32 |     16 |
|  132 | PEDIASURE VAN REF    |  375GM  |     17 |     16 |     16 |
|  133 | PEDIASURE VAN SACH P |  22GM   |      0 |      0 |      0 |
|  134 | PENTIDS 200MG        |  10'S   |     12 |      5 |     80 |
|  135 | PENTIDS 400          |  10'S   |     46 |     69 |     16 |
|  136 | PHENERGAN INJ1*5S    |  2ML    |      1 |      4 |      8 |
|  137 | PHENERGAN SYP        |  100ML  |      0 |      0 |      0 |
|  138 | PPG 0.2MG            |  30'S   |      0 |      0 |      0 |
|  139 | PPG 0.3MG TAB        |  30'S   |      0 |      0 |     33 |
|  140 | PPG MET 0.2 TAB      |  10'S   |      0 |      0 |      0 |
|  141 | PPG MET 0.3 TAB      |  10'S   |      0 |      0 |      0 |
|  142 | PROSURE ORANGE JAR   |  400GM  |      0 |      0 |      0 |
|  143 | PROTHIADEN 25MG TAB  |  15'S   |     19 |     16 |     16 |
|  144 | PROTHIADEN 50MG      |  15'S   |     12 |      0 |     28 |
|  145 | PROTHIADEN 75MG      |  15'S   |      2 |      3 |     20 |
|  146 | SIMILAC 1 REFIL      |  400GM  |     16 |     24 |     15 |
|  147 | SIMILAC 2 REFIL      |  400GM  |     25 |     26 |     22 |
|  148 | SIMILAC 3 REFIL      |  400GM  |     16 |      9 |     17 |
|  149 | SIMILAC 4 REFIL      |  400GM  |      8 |      0 |     24 |
|  150 | SIMILAC ADVANCE 1 JA |  200GM  |      0 |      0 |      0 |
|  151 | SIMILAC ADVANCE 1 JA |  400GM  |      0 |      0 |      0 |
|  152 | SIMILAC ADVANCE 1 RE |  400GM  |      0 |      0 |      0 |
|  153 | SIMILAC ADVANCE 2 RE |  400GM  |      0 |      0 |      0 |
|  154 | SIMILAC ADVANCE 3 RE |  400GM  |      0 |      0 |      0 |
|  155 | SIMILAC ADVANCE 4 RE |  400GM  |      0 |      0 |      0 |
|  156 | SIMILAC MT 1 REF     |  400GM  |      0 |      0 |      0 |
|  157 | SIMILAC MT 2 REF     |  400GM  |      0 |      0 |      0 |
|  158 | SIMILAC MT 3 REF     |  400GM  |      0 |      0 |      0 |
|  159 | SIMILAC MT 4 REF     |  400GM  |      0 |      0 |      0 |
|  160 | SIMILAC NEOSURE DHA  |  400GM  |      0 |      0 |      0 |
|  161 | SIMILAC PLUS STAGE 1 |  400GM  |      0 |      0 |      0 |
|  162 | SIMILAC PLUS STAGE 2 |  400GM  |      0 |      0 |      0 |
|  163 | SIMILAC PLUS STAGE 3 |  400GM  |      0 |      0 |      0 |
|  164 | SIMILAC TOTAL COMFOR |  350GM  |      0 |      0 |      0 |
|  165 | SimMOM PLUS CHOC REF |  400GM  |      0 |      0 |      0 |
--------------------------------------------------------------------

VASAN MEDICAL AGENCIES,THANJAVUR.            
CLOSTING STOCK STATEMENT AS ON 30/11/2025             Page No:     4
--------------------------------------------------------------------
|SL.No | PRODUCT NAME         | PACKG   |L.M.SALE|  SALES |  STOCK |
--------------------------------------------------------------------
|  166 | SimMOM PLUS VANNILA  |  400GM  |      0 |      0 |      0 |
|  167 | SORBITRATE 10MG      |  50'S   |      2 |      2 |    157 |
|  168 | SORBITRATE 5 MG      |  50'S   |      0 |      4 |    132 |
|  169 | STATOR 10 MG         |  15'S   |      6 |      8 |     12 |
|  170 | STATOR 20MG          |  15*S   |      1 |      0 |      7 |
|  171 | STEMETIL INJ 1ML     |  1ML    |      5 |      5 |     14 |
|  172 | STEMETIL MD TAB      |  10'S   |     35 |     13 |     29 |
|  173 | SURBEX COLD CAP      |  15'S   |      0 |      0 |      0 |
|  174 | THYRONORM 100MCG     |  120'S  |    296 |    201 |     32 |
|  175 | THYRONORM 112MCG     |  120'S  |      3 |     62 |      5 |
|  176 | THYRONORM 12.5MCG    |  120'S  |    129 |     91 |     32 |
|  177 | THYRONORM 125MCG     |  120'S  |    104 |    141 |     19 |
|  178 | THYRONORM 150MCG     |  120'S  |     30 |    126 |      9 |
|  179 | THYRONORM 25MCG      |  120'S  |    200 |    204 |     48 |
|  180 | THYRONORM 37.5MCG    |  120'S  |     14 |     26 |     23 |
|  181 | THYRONORM 50MCG      |  120'S  |    219 |    147 |     56 |
|  182 | THYRONORM 62.5MCG    |  120'S  |     26 |     47 |     38 |
|  183 | THYRONORM 75MCG      |  120'S  |    148 |    139 |     19 |
|  184 | THYRONORM 88MCG      |  120'S  |     38 |     60 |     16 |
|  185 | THYROWELPLUS-TAB     |  1*2'ST |      0 |      4 |     44 |
|  186 | TIXYLIX              |  60ML   |      0 |      0 |      0 |
|  187 | TOSSEX SYP           |  100ML  |    184 |    113 |    163 |
|  188 | TRIBETROL 2 FORTE    |  10'S   |      0 |      0 |      0 |
|  189 | TRIBETROL 2 FORTE    |  10'S   |      0 |      0 |      0 |
|  190 | UDILIV-300           |  15`S   |      0 |      0 |      0 |
|  191 | VALIUM 10MG          |  10'S   |      2 |      0 |      0 |
|  192 | VALIUM 5MG           |  10'S   |      0 |      0 |      0 |
|  193 | VERTIN 16            |  15'S   |     19 |     17 |     15 |
|  194 | VERTIN 24            |  15'S   |      0 |      0 |      0 |
|  195 | VERTIN 8             |  15'S   |     62 |     25 |     62 |
|  196 | VOLTAFLAM 50MG TAB   |  60     |      0 |      0 |      0 |
|  197 | ZOLFRESH 10MG TAB    |  15'S   |    378 |    882 |    141 |
|  198 | ZOLFRESH 5MG TAB     |  15'S   |    335 |    438 |    127 |
|  199 | ZOLFRESH ER 12.5 TAB |  15     |      0 |      0 |      0 |
|  200 | ZOLFRESH ER 6.25 TAB |  15     |      0 |      0 |      0 |
--------------------------------------------------------------------
*** End of List ***
